Value,LastModifiedDateUTC
"Carver County, Minnesota",2019-06-04 22:00:14.557
"Cascade County, Montana",2019-06-04 22:00:14.557
"Casey County, Kentucky",2019-06-04 22:00:14.557
"Cass County, Illinois",2019-06-04 22:00:14.557
"Cass County, Indiana",2019-06-04 22:00:14.557
"Cass County, Iowa",2019-06-04 22:00:14.557
"Cass County, Michigan",2019-06-04 22:00:14.557
"Cass County, Minnesota",2019-06-04 22:00:14.557
"Cass County, Missouri",2019-06-04 22:00:14.557
"Cass County, Nebraska",2019-06-04 22:00:14.557
"Cass County, North Dakota",2019-06-04 22:00:14.557
"Cass County, Texas",2019-06-04 22:00:14.557
"Cassia County, Idaho",2019-06-04 22:00:14.557
"Castro County, Texas",2019-06-04 22:00:14.557
"Caswell County, North Carolina",2019-06-04 22:00:14.557
"Catahoula Parish, Louisiana",2019-06-04 22:00:14.557
"Catawba County, North Carolina",2019-06-04 22:00:14.557
"Catoosa County, Georgia",2019-06-04 22:00:14.557
"Catron County, New Mexico",2019-06-04 22:00:14.557
"Cattaraugus County, New York",2019-06-04 22:00:14.557
"Cavalier County, North Dakota",2019-06-04 22:00:14.557
"Cayuga County, New York",2019-06-04 22:00:14.557
"Cecil County, Maryland",2019-06-04 22:00:14.557
"Cedar County, Iowa",2019-06-04 22:00:14.557
"Cedar County, Missouri",2019-06-04 22:00:14.557
"Cedar County, Nebraska",2019-06-04 22:00:14.557
"Centre County, Pennsylvania",2019-06-04 22:00:14.557
"Cerro Gordo County, Iowa",2019-06-04 22:00:14.557
"Chaffee County, Colorado",2019-06-04 22:00:14.557
"Chambers County, Alabama",2019-06-04 22:00:14.557
"Chambers County, Texas",2019-06-04 22:00:14.557
"Champaign County, Illinois",2019-06-04 22:00:14.557
"Champaign County, Ohio",2019-06-04 22:00:14.557
"Chariton County, Missouri",2019-06-04 22:00:14.557
"Charles City County, Virginia",2019-06-04 22:00:14.557
"Charles County, Maryland",2019-06-04 22:00:14.557
"Charles Mix County, South Dakota",2019-06-04 22:00:14.557
"Charleston County, South Carolina",2019-06-04 22:00:14.557
"Charlevoix County, Michigan",2019-06-04 22:00:14.557
"Charlotte County, Florida",2019-06-04 22:00:14.557
